,price,beds,livings,wc,area,street_width,age,ketchen,ac,furnished,district,advertiser_type,review,onMarket,IsRent
5,40000,3,1,2,170.0,35.0,3.0,False,False,False,حي الياسمين,normal_marketer,4.47,7,True
8,28000,3,1,2,200.0,18.0,5.0,False,False,False,حي المونسية,exclusive_marketer,4.38,29,False
9,40000,4,1,2,160.0,27.0,2.0,True,False,False,حي النرجس,normal_marketer,4.79,18,True
19,78000,4,1,3,200.0,30.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.54,52,False
26,38000,3,1,2,156.0,15.0,2.0,False,False,False,حي العارض,normal_marketer,3.27,5,True
33,32000,3,1,2,150.0,15.0,1.0,True,True,False,حي النرجس,normal_marketer,4.31,21,True
36,25000,1,1,1,50.0,24.0,5.0,True,True,False,حي المونسية,owner,4.52,53,False
40,60000,4,1,3,170.0,36.0,0.0,False,False,False,حي المونسية,normal_marketer,4.79,86,False
42,90000,3,1,2,220.0,20.0,0.0,True,True,False,حي العارض,normal_marketer,4.34,83,False
44,35000,1,1,1,80.0,37.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,1.0,22,False
45,75000,3,1,3,166.0,30.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.0,31,False
47,36000,3,1,2,130.0,20.0,0.0,True,False,False,حي النرجس,normal_marketer,3.96,11,True
48,28000,2,1,2,100.0,15.0,8.0,True,True,False,حي الياسمين,exclusive_marketer,4.7,5,True
50,21000,3,1,2,200.0,15.0,0.0,False,False,False,حي القادسية,owner,5.0,37,True
51,70000,3,2,3,153.0,30.0,5.0,True,True,False,حي الياسمين,exclusive_marketer,4.0,30,False
54,23000,1,1,1,50.0,25.0,4.0,True,True,False,حي قرطبة,owner,4.52,52,False
55,60000,3,1,3,133.0,30.0,0.0,False,False,False,حي النرجس,normal_marketer,4.21,52,True
56,35000,2,1,2,120.0,15.0,2.0,True,True,False,حي العارض,exclusive_marketer,4.05,31,False
57,24000,2,0,1,160.0,18.0,1.0,True,True,False,حي العارض,agent,5.0,9,True
60,50000,3,1,3,160.0,15.0,0.0,True,True,False,حي العارض,normal_marketer,4.17,17,True
66,78000,3,1,3,166.0,20.0,0.0,True,False,False,حي النرجس,normal_marketer,4.22,18,False
67,30000,1,1,1,70.0,12.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,4.67,98,False
68,40000,3,1,2,150.0,24.0,4.0,True,True,False,حي اليرموك,exclusive_marketer,4.31,148,False
72,23000,3,1,2,100.0,20.0,0.0,False,False,False,حي الرمال,owner,0.0,20,False
73,17000,1,0,1,85.0,38.0,4.0,True,True,False,حي العارض,agent,4.29,21,True
86,29000,3,1,2,120.0,20.0,1.0,True,False,False,حي العارض,owner,5.0,34,False
88,90000,3,2,3,180.0,35.0,1.0,True,True,False,حي الياسمين,normal_marketer,4.36,5,True
92,24000,4,1,3,150.0,22.0,0.0,True,False,False,حي الرمال,owner,0.0,5,True
111,55000,3,1,2,180.0,15.0,0.0,True,True,False,حي النرجس,normal_marketer,4.42,88,True
121,25000,1,1,1,50.0,29.0,4.0,True,True,False,حي المونسية,owner,4.52,62,False
122,90000,3,1,3,219.0,20.0,1.0,True,True,True,حي النرجس,exclusive_marketer,5.0,37,False
125,50000,4,1,3,320.0,20.0,1.0,False,True,False,حي النرجس,normal_marketer,4.31,37,True
133,35000,2,1,2,300.0,16.0,6.0,True,True,False,حي قرطبة,exclusive_marketer,4.1,27,False
134,40000,3,1,2,250.0,19.0,0.0,True,False,False,حي العارض,owner,3.97,17,False
140,40000,3,1,3,150.0,22.0,0.0,False,False,False,حي قرطبة,exclusive_marketer,4.3,19,True
142,45000,4,1,3,180.0,20.0,5.0,True,False,False,حي قرطبة,normal_marketer,4.56,2,True
144,22000,3,1,2,130.0,20.0,0.0,False,False,False,حي الرمال,owner,4.29,17,True
145,65000,4,1,3,160.0,30.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.38,70,True
149,60000,3,1,3,172.0,30.0,0.0,True,False,False,حي القادسية,exclusive_marketer,4.15,10,True
150,75000,2,1,3,120.0,20.0,0.0,True,True,True,حي النرجس,owner,5.0,49,True
155,30000,3,1,2,133.0,11.0,0.0,True,False,False,حي العارض,normal_marketer,4.06,4,True
158,35000,3,1,2,140.0,20.0,5.0,True,False,False,حي قرطبة,owner,4.64,31,True
159,25000,1,1,1,40.0,24.0,2.0,True,True,False,حي اليرموك,exclusive_marketer,4.43,14,True
162,35000,2,1,2,120.0,20.0,0.0,True,False,False,حي الياسمين,normal_marketer,3.96,14,True
163,75000,3,1,4,145.0,30.0,0.0,True,False,False,حي قرطبة,agent,4.56,51,True
167,70000,3,1,3,134.0,36.0,0.0,False,True,False,حي الياسمين,owner,0.0,35,False
170,31000,3,1,2,120.0,30.0,15.0,True,False,False,حي قرطبة,owner,4.56,32,True
173,25000,1,1,1,150.0,24.0,0.0,True,True,False,حي اليرموك,owner,4.49,33,False
175,29000,2,1,1,100.0,30.0,5.0,True,True,False,حي اليرموك,exclusive_marketer,4.09,21,False
176,44000,4,1,2,250.0,37.0,0.0,True,True,False,حي الياسمين,owner,4.49,19,False
177,90000,4,1,4,179.0,30.0,3.0,True,True,True,حي قرطبة,owner,5.0,46,True
181,32000,3,1,2,100.0,15.0,0.0,True,False,False,حي العارض,exclusive_marketer,4.19,57,True
186,25000,2,1,3,180.0,21.0,0.0,True,False,False,حي الرمال,exclusive_marketer,4.08,69,False
193,48000,3,1,3,150.0,15.0,0.0,True,True,False,حي قرطبة,normal_marketer,3.97,24,True
198,22000,1,1,1,300.0,29.0,3.0,True,True,False,حي اليرموك,exclusive_marketer,4.38,47,True
204,40000,4,1,3,200.0,20.0,8.0,False,False,False,حي غرناطة,exclusive_marketer,4.46,25,False
205,65000,4,1,3,160.0,15.0,2.0,True,True,False,حي الياسمين,normal_marketer,4.44,16,True
206,17000,1,0,1,70.0,27.0,3.0,False,True,False,حي العارض,normal_marketer,4.07,132,False
207,22000,2,1,2,120.0,20.0,0.0,True,False,False,حي الرمال,exclusive_marketer,4.08,54,False
209,95000,3,1,4,250.0,31.0,3.0,True,True,True,حي النرجس,normal_marketer,4.28,21,True
211,29000,2,1,1,90.0,21.0,5.0,True,True,False,حي اليرموك,normal_marketer,4.35,25,False
221,60000,4,1,4,161.0,30.0,0.0,True,True,False,حي المونسية,owner,4.63,25,False
223,25000,1,1,1,150.0,33.0,0.0,True,True,False,حي المونسية,owner,4.49,61,False
224,23000,1,0,1,50.0,19.0,1.0,True,True,False,حي العارض,owner,4.37,78,False
225,28000,3,1,2,150.0,15.0,4.0,True,True,False,حي المونسية,exclusive_marketer,4.38,9,True
228,75000,3,1,3,130.0,30.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,4.48,22,True
229,30000,2,1,1,80.0,11.0,4.0,True,True,False,حي اليرموك,exclusive_marketer,4.67,116,False
233,47000,2,1,2,150.0,18.0,7.0,True,True,False,حي النرجس,normal_marketer,4.17,20,True
237,44000,3,1,3,140.0,20.0,1.0,True,True,False,حي العارض,exclusive_marketer,4.22,10,True
241,30000,3,1,2,150.0,23.0,0.0,True,True,False,حي المونسية,owner,4.29,11,True
245,70000,4,1,3,175.0,37.0,0.0,True,True,False,حي النرجس,normal_marketer,4.79,25,True
247,65000,5,1,3,177.0,35.0,4.0,True,True,False,حي الياسمين,normal_marketer,4.07,32,False
250,38000,3,1,2,150.0,27.0,2.0,True,False,False,حي الياسمين,normal_marketer,4.75,27,True
254,60000,3,1,2,120.0,16.0,0.0,True,True,False,حي النرجس,normal_marketer,5.0,23,False
255,83000,4,1,3,195.0,36.0,0.0,True,True,False,حي النرجس,normal_marketer,3.97,53,True
257,28000,3,1,2,100.0,36.0,11.0,True,False,False,حي قرطبة,exclusive_marketer,4.41,24,True
259,45000,2,1,2,130.0,36.0,5.0,True,True,False,حي النرجس,owner,4.28,27,True
267,25000,1,1,1,80.0,31.0,2.0,True,True,False,حي المونسية,owner,4.15,179,False
269,70000,3,2,3,166.0,25.0,0.0,True,True,False,حي الياسمين,exclusive_marketer,4.54,65,False
275,95000,3,2,3,95.0,30.0,0.0,True,True,True,حي النرجس,owner,0.0,23,False
281,21000,1,1,1,50.0,26.0,4.0,True,True,False,حي اليرموك,owner,4.52,53,False
286,28000,1,1,1,170.0,15.0,4.0,True,True,False,حي الياسمين,owner,4.17,156,False
287,21000,1,1,1,70.0,24.0,4.0,True,True,False,حي اليرموك,owner,4.43,20,False
