price,beds,livings,wc,area,street_width,age,ketchen,ac,furnished,district,advertiser_type,review,onMarket,IsRent
20000,3,0.0,2,225.0,15.0,9.0,1.0,0.0,0.0,حي النظيم,owner,5.0,17,False
25000,3,1.0,2,130.0,30.0,12.0,1.0,0.0,0.0,حي الفيحاء,exclusive_marketer,4.33,5,True
22000,3,1.0,2,200.0,25.0,,0.0,0.0,0.0,حي الرمال,normal_marketer,4.67,15,True
38000,1,1.0,1,120.0,34.0,0.0,1.0,1.0,0.0,حي العقيق,owner,4.17,165,False
25000,1,1.0,1,60.0,39.0,9.0,1.0,1.0,0.0,حي التعاون,normal_marketer,4.42,48,False
40000,3,1.0,2,170.0,35.0,3.0,0.0,0.0,0.0,حي الياسمين,normal_marketer,4.47,7,True
85000,3,2.0,5,600.0,25.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.54,27,False
42000,3,1.0,1,,,1.0,1.0,1.0,0.0,حي الخليج,,3.76,17,False
28000,3,1.0,2,200.0,18.0,5.0,0.0,0.0,0.0,حي المونسية,exclusive_marketer,4.38,29,False
40000,4,1.0,2,160.0,27.0,2.0,1.0,0.0,0.0,حي النرجس,normal_marketer,4.79,18,True
19000,1,0.0,1,150.0,39.0,1.0,1.0,1.0,0.0,حي اشبيلية,owner,4.29,17,True
27000,2,1.0,1,8.0,29.0,0.0,1.0,1.0,0.0,حي اليرموك,normal_marketer,4.4,36,True
70000,4,1.0,3,180.0,15.0,0.0,1.0,1.0,0.0,حي الندى,normal_marketer,4.31,38,True
22000,3,1.0,2,100.0,20.0,35.0,1.0,1.0,0.0,حي البديعة,agent,5.0,79,False
28000,3,1.0,2,450.0,15.0,,0.0,0.0,0.0,حي المونسية,agent,,26,True
34000,3,1.0,2,1.0,30.0,15.0,1.0,0.0,0.0,حي التعاون,normal_marketer,2.33,16,True
22000,1,0.0,1,40.0,20.0,5.0,1.0,1.0,0.0,حي الحمراء,normal_marketer,4.35,63,False
50000,5,1.0,4,500.0,15.0,7.0,1.0,1.0,1.0,حي القيروان,normal_marketer,3.94,6,True
85000,4,1.0,3,208.0,35.0,,1.0,1.0,0.0,حي القيروان,owner,4.26,59,False
78000,4,1.0,3,200.0,30.0,0.0,1.0,1.0,0.0,حي النرجس,exclusive_marketer,4.54,52,False
10000,1,1.0,1,50.0,5.0,,0.0,0.0,0.0,حي الفاخرية,owner,4.47,76,False
30000,1,1.0,1,50.0,15.0,5.0,1.0,1.0,0.0,حي الوزارات,owner,4.04,32,False
42000,2,1.0,1,80.0,21.0,0.0,1.0,1.0,0.0,حي الخليج,owner,5.0,52,False
24000,3,1.0,2,,,0.0,1.0,0.0,0.0,حي الرمال,normal_marketer,4.56,64,True
15000,1,0.0,1,85.0,65.0,,1.0,1.0,1.0,حي الازدهار,exclusive_marketer,4.47,32,False
53000,3,1.0,2,150.0,35.0,3.0,1.0,1.0,0.0,حي الازدهار,exclusive_marketer,1.0,25,False
38000,3,1.0,2,156.0,15.0,2.0,0.0,0.0,0.0,حي العارض,normal_marketer,3.27,5,True
28000,1,0.0,1,40.0,29.0,1.0,1.0,1.0,0.0,حي الملقا,agent,4.11,12,True
90000,3,1.0,3,900.0,30.0,0.0,1.0,1.0,0.0,حي القيروان,normal_marketer,4.17,28,False
14000,3,1.0,2,120.0,20.0,,0.0,0.0,0.0,حي عكاظ,agent,5.0,18,True
89000,3,1.0,3,240.0,36.0,,1.0,1.0,0.0,حي الياسمين,agent,5.0,47,False
32000,2,1.0,2,100.0,15.0,,1.0,0.0,0.0,حي عرقة,exclusive_marketer,4.54,46,False
75000,4,1.0,3,150.0,37.0,0.0,1.0,1.0,0.0,حي الملقا,normal_marketer,4.34,63,True
32000,3,1.0,2,150.0,15.0,1.0,1.0,1.0,0.0,حي النرجس,normal_marketer,4.31,21,True
25000,4,1.0,2,134.0,30.0,9.0,0.0,0.0,0.0,حي ظهرة لبن,normal_marketer,4.26,8,True
18000,3,1.0,2,99.0,25.0,0.0,1.0,0.0,0.0,حي عكاظ,owner,4.36,138,True
25000,1,1.0,1,50.0,24.0,5.0,1.0,1.0,0.0,حي المونسية,owner,4.52,53,False
35000,1,1.0,1,50.0,24.0,5.0,1.0,1.0,0.0,حي حطين,owner,4.52,53,False
34000,2,1.0,2,80.0,5.0,0.0,1.0,1.0,0.0,حي الشهداء,owner,3.5,68,False
70000,4,2.0,3,210.0,36.0,,1.0,1.0,0.0,حي الملقا,owner,3.98,99,False
60000,4,1.0,3,170.0,36.0,0.0,0.0,0.0,0.0,حي المونسية,normal_marketer,4.79,86,False
40000,2,1.0,2,120.0,30.0,0.0,1.0,1.0,0.0,حي الشهداء,exclusive_marketer,4.43,39,True
90000,3,1.0,2,220.0,20.0,0.0,1.0,1.0,0.0,حي العارض,normal_marketer,4.34,83,False
16000,2,1.0,1,80.0,30.0,17.0,1.0,0.0,0.0,حي الخليج,exclusive_marketer,,23,False
35000,1,1.0,1,80.0,37.0,3.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,1.0,22,False
75000,3,1.0,3,166.0,30.0,0.0,1.0,1.0,0.0,حي النرجس,exclusive_marketer,4.0,31,False
33000,3,1.0,2,130.0,20.0,4.0,1.0,1.0,1.0,حي اشبيلية,exclusive_marketer,4.09,43,True
36000,3,1.0,2,130.0,20.0,0.0,1.0,0.0,0.0,حي النرجس,normal_marketer,3.96,11,True
28000,2,1.0,2,100.0,15.0,8.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,4.7,5,True
24000,2,1.0,1,1.0,1.0,2.0,1.0,1.0,0.0,حي المونسية,owner,4.59,19,False
21000,3,1.0,2,200.0,15.0,0.0,0.0,0.0,0.0,حي القادسية,owner,5.0,37,True
70000,3,2.0,3,153.0,30.0,5.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,4.0,30,False
70000,3,2.0,3,180.0,33.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.31,19,False
70000,2,1.0,2,200.0,35.0,,1.0,1.0,0.0,حي العقيق,owner,4.62,56,True
23000,1,1.0,1,50.0,25.0,4.0,1.0,1.0,0.0,حي قرطبة,owner,4.52,52,False
60000,3,1.0,3,133.0,30.0,0.0,0.0,0.0,0.0,حي النرجس,normal_marketer,4.21,52,True
35000,2,1.0,2,120.0,15.0,2.0,1.0,1.0,0.0,حي العارض,exclusive_marketer,4.05,31,False
24000,2,0.0,1,160.0,18.0,1.0,1.0,1.0,0.0,حي العارض,agent,5.0,9,True
29000,3,1.0,2,110.0,5.0,0.0,0.0,0.0,0.0,حي النرجس,exclusive_marketer,4.43,28,True
23000,1,0.0,1,100.0,30.0,0.0,1.0,1.0,0.0,حي المروج,exclusive_marketer,5.0,24,False
50000,3,1.0,3,160.0,15.0,0.0,1.0,1.0,0.0,حي العارض,normal_marketer,4.17,17,True
33000,1,0.0,1,50.0,5.0,,1.0,1.0,0.0,حي العقيق,exclusive_marketer,4.74,89,False
70000,3,1.0,3,128.0,40.0,0.0,1.0,1.0,0.0,حي الملقا,normal_marketer,4.81,36,False
39000,2,1.0,2,200.0,25.0,4.0,1.0,1.0,0.0,حي الربيع,agent,4.52,69,False
29000,2,1.0,2,150.0,100.0,5.0,1.0,1.0,0.0,حي المونسية,exclusive_marketer,3.67,20,False
70000,3,1.0,3,160.0,35.0,0.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.26,36,False
78000,3,1.0,3,166.0,20.0,0.0,1.0,0.0,0.0,حي النرجس,normal_marketer,4.22,18,False
30000,1,1.0,1,70.0,12.0,3.0,1.0,1.0,0.0,حي الياسمين,exclusive_marketer,4.67,98,False
40000,3,1.0,2,150.0,24.0,4.0,1.0,1.0,0.0,حي اليرموك,exclusive_marketer,4.31,148,False
46000,2,1.0,1,200.0,30.0,0.0,1.0,1.0,0.0,حي العقيق,exclusive_marketer,5.0,22,False
53000,3,1.0,2,90.0,20.0,0.0,1.0,1.0,0.0,حي الازدهار,,4.0,107,False
30000,3,1.0,2,400.0,5.0,5.0,1.0,1.0,1.0,حي القيروان,owner,5.0,4,True
23000,3,1.0,2,100.0,20.0,0.0,0.0,0.0,0.0,حي الرمال,owner,,20,False
17000,1,0.0,1,85.0,38.0,4.0,1.0,1.0,0.0,حي العارض,agent,4.29,21,True
80000,4,1.0,3,170.0,20.0,0.0,1.0,1.0,0.0,حي الندى,normal_marketer,4.31,22,False
27000,4,1.0,2,131.0,5.0,10.0,1.0,0.0,0.0,حي ظهرة لبن,owner,4.43,76,False
25000,3,1.0,2,160.0,20.0,,0.0,0.0,0.0,حي المونسية,exclusive_marketer,4.64,42,True
120000,3,2.0,3,150.0,20.0,1.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,3.73,24,False
22000,1,1.0,1,75.0,81.0,2.0,1.0,1.0,0.0,حي اشبيلية,normal_marketer,4.78,82,False
22000,1,1.0,1,150.0,39.0,4.0,1.0,1.0,0.0,حي الحمراء,agent,3.74,40,True
75000,4,1.0,5,200.0,5.0,3.0,1.0,1.0,0.0,حي الملقا,exclusive_marketer,4.43,84,True
