,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
0, حي المروج ,جنوبية,4,1.0,3,249,متوفر,غير متوفر,متوفر,3,0.0,لا,1434000
1, حي العارض ,شمالية غربية,3,1.0,3,199,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,980000
2, حي النرجس ,غير محدد,3,1.0,3,145,متوفر,غير متوفر,متوفر,أرضي,2.0,لا,1050000
3, حي النرجس ,شمالية,3,1.0,3,101,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,1200000
4, حي الياسمين ,شرقية,4,1.0,3,147,متوفر,غير متوفر,متوفر,علوي,2.0,نعم,1200000
5, حي الياسمين ,غير محدد,3,1.0,2,118,متوفر,غير متوفر,متوفر,3,0.0,لا,850000
6, حي النرجس ,شرقية,3,1.0,3,112,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,885000
7, حي النرجس ,شرقية,2,1.0,3,100,متوفر,غير متوفر,متوفر,3,0.0,لا,1200000
8, حي النرجس ,جنوبية شرقية,3,1.0,3,170,متوفر,غير متوفر,متوفر,ثالث,0.0,نعم,930000
9, حي العقيق ,غير محدد,3,1.0,3,115,غير متوفر,متوفر,متوفر,غير محدد,11.0,لا,1100000
10, حي القيروان ,شرقية,4,1.0,3,150,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1300000
11, حي النرجس ,غير محدد,2,2.0,3,157,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
12, حي الملقا ,شمالية غربية,4,1.0,3,124,متوفر,غير متوفر,متوفر,علوي,0.0,لا,959000
13, حي الملقا ,غير محدد,3,1.0,3,140,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1190000
14, حي الملقا ,غير محدد,3,1.0,3,134,متوفر,غير متوفر,متوفر,غير محدد,1.0,لا,1320000
15, حي النرجس ,جنوبية,4,1.0,3,120,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,850000
17, حي الملقا ,غير محدد,3,1.0,3,116,متوفر,متوفر,متوفر,أرضي,2.0,نعم,1100000
18, حي القيروان ,غير محدد,3,1.0,3,100,متوفر,متوفر,متوفر,أرضي,0.0,لا,850000
19, حي الياسمين ,غير محدد,3,1.0,3,112,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
20, الرياض ,غير محدد,2,1.0,3,135,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1375000
21, حي الصحافة ,غير محدد,2,1.0,3,142,متوفر,متوفر,متوفر,غير محدد,7.0,لا,1980000
22, حي الياسمين ,جنوبية,4,1.0,4,201,متوفر,غير متوفر,متوفر,علوي,3.0,لا,1400000
23, حي العارض ,جنوبية شرقية,3,2.0,3,167,متوفر,متوفر,غير متوفر,غير محدد,0.0,نعم,990000
24, حي القيروان ,غير محدد,3,2.0,3,228,متوفر,متوفر,متوفر,علوي,0.0,نعم,1850000
25, حي الملقا ,غربية,3,2.0,3,178,متوفر,متوفر,متوفر,غير محدد,0.0,لا,1499000
26, حي القيروان ,شرقية,3,1.0,3,104,متوفر,متوفر,غير متوفر,أرضي,0.0,لا,1100000
27, حي النرجس ,جنوبية,3,1.0,3,185,متوفر,غير متوفر,متوفر,علوي,2.0,نعم,1000000
28, حي النرجس ,غير محدد,3,1.0,2,129,متوفر,غير متوفر,متوفر,علوي,0.0,لا,830000
29, حي النفل ,شمالية,3,1.0,4,131,غير متوفر,متوفر,متوفر,3,0.0,لا,1070000
31, حي الياسمين ,غير محدد,3,1.0,3,124,غير متوفر,متوفر,غير متوفر,أرضي,0.0,لا,990000
32, حي الملقا ,غير محدد,3,1.0,3,121,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1249000
33, الرياض ,غربية,3,1.0,4,166,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,1190000
34, حي النرجس ,غير محدد,2,2.0,3,157,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
35, حي النرجس ,غير محدد,4,2.0,4,155,متوفر,متوفر,متوفر,أرضي,0.0,لا,1205000
36, حي النرجس ,جنوبية,2,2.0,3,117,غير متوفر,غير متوفر,متوفر,3,0.0,لا,899000
37, حي النرجس ,جنوبية,3,1.0,3,137,متوفر,غير متوفر,غير متوفر,علوي,1.0,لا,850000
38, حي حطين ,غير محدد,3,1.0,3,174,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1350000
40, حي العقيق ,جنوبية,3,1.0,3,139,متوفر,متوفر,متوفر,3,10.0,لا,800000
41, حي الربيع ,جنوبية,2,1.0,2,123,متوفر,غير متوفر,غير متوفر,ثاني,0.0,لا,1379000
42, حي النرجس ,شمالية,3,1.0,3,145,متوفر,غير متوفر,متوفر,أرضي,2.0,لا,1050000
43, حي القيروان ,شمالية,4,1.0,2,199,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1500000
44, الرياض ,غير محدد,1,0.0,4,178,متوفر,غير متوفر,غير متوفر,أرضي,2.0,لا,1250000
